Algorithm,epsilon,Budget,f(s),no_queries,time
Linear Apdaptive,0.1,300,125.672,60933,10233
Linear Apdaptive,0.1,400,102.823,60933,10233.2
Linear Apdaptive,0.1,500,220.879,60933,10237.6
Linear Apdaptive,0.1,600,121.864,60933,10230.9
Linear Apdaptive,0.1,700,137.097,60933,10236.6
Linear Apdaptive,0.1,800,159.947,60933,10235.4
Linear Apdaptive,0.1,900,213.262,60933,10114.8
Linear Apdaptive,0.1,1000,159.947,60933,10079.6
Linear Apdaptive,0.1,1100,140.905,60933,10079.3
Linear Apdaptive,0.1,1200,121.864,60933,10086.5
Linear Apdaptive,0.1,1300,72.3568,60933,10084.6
Linear Apdaptive,0.1,1400,300.852,60933,10101.2
Linear Apdaptive,0.1,1500,152.33,60933,10087.4
Linear Apdaptive,0.1,1700,91.398,60933,10090.7
Linear Apdaptive,0.1,1900,95.2063,60933,10087.6
Linear Apdaptive,0.1,2000,262.769,60933,10087.2
