Algorithm,epsilon,Budget,f(s),no_queries,time
Tang2,0.1,300,144.714,1416019,258015
Tang2,0.1,400,137.097,1415769,258031
Tang2,0.1,500,64.7403,1416427,258027
Tang2,0.1,600,133.289,1415549,257771
Tang2,0.1,700,95.2063,1413860,257772
Tang2,0.1,800,76.165,1414181,257770
Tang2,0.1,900,95.2063,1418480,258223
Tang2,0.1,1000,144.714,1415778,258225
Tang2,0.1,1100,148.522,1416049,258228
Tang2,0.1,1200,68.5485,1410857,256844
Tang2,0.1,1300,72.3568,1418119,256830
Tang2,0.1,1400,140.905,1419260,256826
Tang2,0.1,1500,60.932,1425727,258262
Tang2,0.1,1700,114.248,1430727,258256
Tang2,0.1,1900,87.5897,1419524,258264
Tang2,0.1,2000,99.0145,1409937,257792
