Algorithm,epsilon,Budget,f(s),no_queries,time
2,0.1,300,159.947,908817,160429
2,0.1,400,198.029,1036917,182833
2,0.1,500,205.645,1118802,201017
2,0.1,600,220.879,1207401,216864
2,0.1,700,205.645,1335390,239686
2,0.1,800,251.345,1490331,268797
2,0.1,900,236.112,1492218,269795
2,0.1,1000,255.153,1483083,268573
2,0.1,1100,224.687,1536048,275930
2,0.1,1200,224.687,1538967,275089
2,0.1,1300,228.495,1547055,277875
2,0.1,1400,266.578,1559169,280409
2,0.1,1500,243.728,1545609,276432
2,0.1,1700,220.879,1596321,284144
2,0.1,1900,251.345,1595430,288514
2,0.1,2000,243.728,1625436,296558
