Algorithm,epsilon,Budget,f(s),no_queries,time
Linear Apdaptive,0.1,300,68.5485,60933,10076.1
Linear Apdaptive,0.1,400,133.289,60933,10082.7
Linear Apdaptive,0.1,500,144.714,60933,10086.1
Linear Apdaptive,0.1,600,159.947,60933,10085.2
Linear Apdaptive,0.1,700,156.138,60933,10090
Linear Apdaptive,0.1,800,140.905,60933,10082.2
Linear Apdaptive,0.1,900,163.755,60933,10090.5
Linear Apdaptive,0.1,1000,171.371,60933,10091.8
Linear Apdaptive,0.1,1100,182.796,60933,10091.1
Linear Apdaptive,0.1,1200,194.221,60933,10090.1
Linear Apdaptive,0.1,1300,205.645,60933,10093.1
Linear Apdaptive,0.1,1400,178.988,60933,10091.4
Linear Apdaptive,0.1,1500,167.563,60933,10090.5
Linear Apdaptive,0.1,1700,163.755,60933,10091
Linear Apdaptive,0.1,1900,125.672,60933,10080.7
Linear Apdaptive,0.1,2000,114.248,60933,10075.7
