Algorithm,epsilon,Budget,f(s),no_queries,time
eps-approximation,0.1,300,217.07,426525,71019.2
eps-approximation,0.1,400,194.221,426525,70083.2
eps-approximation,0.1,500,209.454,426525,71069.4
eps-approximation,0.1,600,278.002,426525,71160.5
eps-approximation,0.1,700,236.112,426525,70751.3
eps-approximation,0.1,800,239.92,426525,70134.2
eps-approximation,0.1,900,232.303,426525,70971.2
eps-approximation,0.1,1000,239.92,426525,71306.7
eps-approximation,0.1,1100,255.153,426525,70836.2
eps-approximation,0.1,1200,270.386,426525,70551.9
eps-approximation,0.1,1300,262.769,426525,70263.9
eps-approximation,0.1,1400,319.893,426525,70980.6
eps-approximation,0.1,1500,285.619,426525,71327.2
eps-approximation,0.1,1700,281.81,426525,71937.7
eps-approximation,0.1,1900,247.536,426525,71425
eps-approximation,0.1,2000,293.235,426525,71325.9
