Algorithm,epsilon,Budget,f(s),no_queries,time
1,0.1,300,171.371,551049,97032
1,0.1,400,182.796,573630,100829
1,0.1,500,198.029,595539,105971
1,0.1,600,228.495,631845,112490
1,0.1,700,251.345,604320,108021
1,0.1,800,236.112,634638,113967
1,0.1,900,239.92,623964,111404
1,0.1,1000,224.687,637725,114026
1,0.1,1100,319.893,606579,107513
1,0.1,1200,289.427,687339,122763
1,0.1,1300,304.66,667632,119832
1,0.1,1400,335.126,645594,114356
1,0.1,1500,319.893,640926,114308
1,0.1,1700,331.318,667830,119456
1,0.1,1900,342.743,690801,123512
1,0.1,2000,331.318,686292,123160
