Algorithm,epsilon,Budget,f(s),,,no_queries,time
eps-approximation,0.1,10,6.20,7.35,1.45,1558,4.2563
eps-approximation,0.1,15,8.16,7.36,1.45,1568,4.26869
eps-approximation,0.1,20,10.02,7.36,1.45,1568,4.27085
eps-approximation,0.1,25,12.58,7.36,1.45,1568,4.26128
eps-approximation,0.1,30,14.37,7.36,1.48,1568,4.39506
eps-approximation,0.1,35,14.51,7.36,1.45,1568,4.27836
eps-approximation,0.1,40,15.46,7.36,1.45,1568,4.27023
eps-approximation,0.1,45,14.45,7.36,1.54,1568,4.68296
eps-approximation,0.1,50,16.30,7.36,1.46,1568,4.28925
Linear Apdaptive,0.1,10,6.20,5.37,1.55,214,4.73218
Linear Apdaptive,0.1,15,8.16,5.41,1.43,224,4.19316
Linear Apdaptive,0.1,20,10.02,5.41,1.43,224,4.17264
Linear Apdaptive,0.1,25,12.58,5.41,1.43,224,4.19067
Linear Apdaptive,0.1,30,14.37,5.41,1.44,224,4.20744
Linear Apdaptive,0.1,35,14.51,5.41,1.43,224,4.16269
Linear Apdaptive,0.1,40,15.46,5.41,1.45,224,4.25229
Linear Apdaptive,0.1,45,14.45,5.41,1.43,224,4.16493
Linear Apdaptive,0.1,50,16.30,5.41,1.43,224,4.17477
Tai1,0.1,10,4.46,5.72,1.42,306,4.13728
Tai1,0.1,15,6.00,6.12,1.43,456,4.19083
Tai1,0.1,20,8.24,6.32,1.43,558,4.1805
Tai1,0.1,25,12.34,6.49,1.51,660,4.53965
Tai1,0.1,30,12.55,6.70,1.44,813,4.22717
Tai1,0.1,35,12.89,6.89,1.45,981,4.24756
Tai1,0.1,40,16.69,6.87,1.53,960,4.63321
Tai1,0.1,45,16.91,7.04,1.45,1143,4.26456
Tai1,0.1,50,16.12,7.03,1.61,1125,4.99245
Tai2,0.1,10,5.52,6.47,1.45,648,4.26239
Tai2,0.1,15,8.02,6.53,1.52,684,4.58608
Tai2,0.1,20,10.26,6.77,1.53,870,4.60821
Tai2,0.1,25,10.11,6.97,1.44,1065,4.22219
Tai2,0.1,30,13.90,7.15,1.45,1272,4.26917
Tai2,0.1,35,14.03,7.21,1.46,1356,4.28593
Tai2,0.1,40,16.63,7.33,1.45,1524,4.2762
Tai2,0.1,45,19.37,7.46,1.46,1731,4.32671
Tai2,0.1,50,19.57,7.42,1.47,1674,4.33647
Tang2,0.1,10,6.26,17.94,8.40,61774278,4457.12
Tang2,0.1,15,8.99,17.94,8.89,61774188,7227.57
Tang2,0.1,20,10.79,17.94,9.14,61774188,9279.25
Tang2,0.1,25,12.69,17.94,9.28,61774188,10711.2
Tang2,0.1,30,14.35,17.94,9.38,61774188,11859.9
Tang2,0.1,35,14.35,17.94,9.38,61774188,11859.9
Tang2,0.2,40,17.95,17.94,9.52,61774188,13626.9
Tang2,0.1,45,19.81,17.94,9.57,61774188,14346.5
Tang2,0.1,50,20.85,17.94,9.61,61774188,14850.1
