ALG,B,F,Q,T
ALG2ACC,139.015,3743.34,21519,14.956
ALG2ACC,278.03,4794.13,25650,19.44
ALG2ACC,417.046,5452.55,29094,22.39
ALG2ACC,556.061,5926.04,32073,24.736
ALG2ACC,695.076,6290.27,34760,26.709
ALG2ACC,834.091,6581.44,37264,28.492
ALG3,139.015,2938.12,20430,12.81
ALG3,278.03,3762.2,24424,16.209
ALG3,417.046,4347.7,27156,18.352
ALG3,556.061,4776.79,29685,19.928
ALG3,695.076,5099.18,32046,21.326
ALG3,834.091,5332.03,33807,22.388
SampleGreedy,139.015,2893.55,17478,2.526
SampleGreedy,278.03,3609.29,19797,2.93
SampleGreedy,417.046,4058.93,21583,3.256
SampleGreedy,556.061,4380.72,23025,3.524
SampleGreedy,695.076,4622.84,24502,3.806
SampleGreedy,834.091,4802.56,25696,4.031
SMKDETACC,139.015,3145.13,32862,15.263
SMKDETACC,278.03,3791.59,35456,21.034
SMKDETACC,417.046,4044.89,37567,25.91
SMKDETACC,556.061,4210.41,39412,30.111
SMKDETACC,695.076,4313.04,41049,33.719
SMKDETACC,834.091,4324.77,42631,37.338
SMKRANACC,139.015,2915.19,23403,9.424
SMKRANACC,278.03,3753.36,28088,12.695
SMKRANACC,417.046,4339.25,31978,15.403
SMKRANACC,556.061,4731.52,35396,17.923
SMKRANACC,695.076,5076.28,38112,19.879
SMKRANACC,834.091,5378.23,41120,21.961
